manufacturer	device_type	firmware_version	mask	description
ELV	4	2	1	Error during flow metering (Air in meassuring pipe) - Error F0
ELV	4	2	2	Interruption of flow temperature sensor - Error F1
ELV	4	2	4	Interruption of return temperature sensor - Error F2
ELV	4	2	8	Electronic for temperature evaluation defective - Error F3
ELV	4	2	16	Battery empty - Error F4
ELV	4	2	32	Short-circuit flow temperature sensor - Error F5
ELV	4	2	64	Short-circuit return temperature sensor - Error F6
ELV	4	2	128	Fault in internal memory (CRC) - Error F7
ELV	4	2	256	Error F1,F2,F5 and F6 pending for longer than 8h - Error F8
ELV	4	2	512	Error in electronics - Error F9
ELV	4	2	1024	Prewarning for solling the measurement tube - Error F0V
ELV	4	2	2048	Correctable error in the internal memory EEPROM - Error F7V
ELR	7	1	1	Meter battery low
ELR	7	1	2	No flow start
ELR	7	1	4	Reserved(0)
ELR	7	1	8	Leak start
ELR	7	1	16	Meter not present
ELR	7	1	32	Overflow
ELR	7	1	64	Empty pipe
ELR	7	1	128	Backflow
LGZ	4	4	1	Error F1,F2,F5 and F6 pending for longer than 8h - Error F8
LGZ	4	4	2	Error in electronics - Error F9
LGZ	4	4	4	Prewarning for solling the measurement tube - Error F0V
LGZ	4	4	8	Correctable error in the internal memory EEPROM - Error F7V
LGZ	4	4	256	Error during flow metering (Air in meassuring pipe) - Error F0
LGZ	4	4	512	Interruption of flow temperature sensor - Error F1
LGZ	4	4	1024	Interruption of return temperature sensor - Error F2
LGZ	4	4	2048	Electronic for temperature evaluation defective - Error F3
LGZ	4	4	4096	Battery empty - Error F4
LGZ	4	4	8192	Short-circuit flow temperature sensor - Error F5
LGZ	4	4	16384	Short-circuit return temperature sensor - Error F6
LGZ	4	4	32768	Fault in internal memory (CRC) - Error F7
LUG	4	4	1	Error F1,F2,F5 and F6 pending for longer than 8h - Error F8
LUG	4	4	2	Error in electronics - Error F9
LUG	4	4	4	Prewarning for solling the measurement tube - Error F0V
LUG	4	4	8	Correctable error in the internal memory EEPROM - Error F7V
LUG	4	4	256	Error during flow metering (Air in meassuring pipe) - Error F0
LUG	4	4	512	Interruption of flow temperature sensor - Error F1
LUG	4	4	1024	Interruption of return temperature sensor - Error F2
LUG	4	4	2048	Electronic for temperature evaluation defective - Error F3
LUG	4	4	4096	Battery empty - Error F4
LUG	4	4	8192	Short-circuit flow temperature sensor - Error F5
LUG	4	4	16384	Short-circuit return temperature sensor - Error F6
LUG	4	4	32768	Fault in internal memory (CRC) - Error F7
KAM	4	0	1	Supply voltage has been cut off
KAM	4	0	2	Flow sensor error
KAM	4	0	4	Temperature sensor T2 outside measuring range
KAM	4	0	8	Temperature sensor T1 outside measuring range
KAM	4	0	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	4	0	32	Temperature sensor T3 outside measuring range
KAM	4	0	64	Leak in the cold-water system
KAM	4	0	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	4	0	256	Leak in the heating system
KAM	4	0	512	Burst in the heating system
KAM	4	0	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	4	0	2048	Flow sensor V1, Wrong meter factor
KAM	4	0	4096	Flow sensor V1, Signal too low (Air)
KAM	4	0	8192	Flow sensor V2, Signal too low (Air)
KAM	4	0	16384	Flow sensor V1, Wrong flow direction
KAM	4	0	32768	Flow sensor V2, Wrong flow direction
KAM	4	1	1	Supply voltage has been cut off
KAM	4	1	2	Flow sensor error
KAM	4	1	4	Temperature sensor T2 outside measuring range
KAM	4	1	8	Temperature sensor T1 outside measuring range
KAM	4	1	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	4	1	32	Temperature sensor T3 outside measuring range
KAM	4	1	64	Leak in the cold-water system
KAM	4	1	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	4	1	256	Leak in the heating system
KAM	4	1	512	Burst in the heating system
KAM	4	1	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	4	1	2048	Flow sensor V1, Wrong meter factor
KAM	4	1	4096	Flow sensor V1, Signal too low (Air)
KAM	4	1	8192	Flow sensor V2, Signal too low (Air)
KAM	4	1	16384	Flow sensor V1, Wrong flow direction
KAM	4	1	32768	Flow sensor V2, Wrong flow direction
KAM	4	5	1	Supply voltage has been cut off
KAM	4	5	2	Flow sensor error
KAM	4	5	4	Temperature sensor T2 outside measuring range
KAM	4	5	8	Temperature sensor T1 outside measuring range
KAM	4	5	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	4	5	32	Temperature sensor T3 outside measuring range
KAM	4	5	64	Leak in the cold-water system
KAM	4	5	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	4	5	256	Leak in the heating system
KAM	4	5	512	Burst in the heating system
KAM	4	5	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	4	5	2048	Flow sensor V1, Wrong meter factor
KAM	4	5	4096	Flow sensor V1, Signal too low (Air)
KAM	4	5	8192	Flow sensor V2, Signal too low (Air)
KAM	4	5	16384	Flow sensor V1, Wrong flow direction
KAM	4	5	32768	Flow sensor V2, Wrong flow direction
KAM	4	6	1	Supply voltage has been cut off
KAM	4	6	2	Flow sensor error
KAM	4	6	4	Temperature sensor T2 outside measuring range
KAM	4	6	8	Temperature sensor T1 outside measuring range
KAM	4	6	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	4	6	32	Temperature sensor T3 outside measuring range
KAM	4	6	64	Leak in the cold-water system
KAM	4	6	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	4	6	256	Leak in the heating system
KAM	4	6	512	Burst in the heating system
KAM	4	6	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	4	6	2048	Flow sensor V1, Wrong meter factor
KAM	4	6	4096	Flow sensor V1, Signal too low (Air)
KAM	4	6	8192	Flow sensor V2, Signal too low (Air)
KAM	4	6	16384	Flow sensor V1, Wrong flow direction
KAM	4	6	32768	Flow sensor V2, Wrong flow direction
KAM	4	7	1	Supply voltage has been cut off
KAM	4	7	2	Flow sensor error
KAM	4	7	4	Temperature sensor T2 outside measuring range
KAM	4	7	8	Temperature sensor T1 outside measuring range
KAM	4	7	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	4	7	32	Temperature sensor T3 outside measuring range
KAM	4	7	64	Leak in the cold-water system
KAM	4	7	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	4	7	256	Leak in the heating system
KAM	4	7	512	Burst in the heating system
KAM	4	7	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	4	7	2048	Flow sensor V1, Wrong meter factor
KAM	4	7	4096	Flow sensor V1, Signal too low (Air)
KAM	4	7	8192	Flow sensor V2, Signal too low (Air)
KAM	4	7	16384	Flow sensor V1, Wrong flow direction
KAM	4	7	32768	Flow sensor V2, Wrong flow direction
KAM	4	8	1	Supply voltage has been cut off
KAM	4	8	2	Flow sensor error
KAM	4	8	4	Temperature sensor T2 outside measuring range
KAM	4	8	8	Temperature sensor T1 outside measuring range
KAM	4	8	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	4	8	32	Temperature sensor T3 outside measuring range
KAM	4	8	64	Leak in the cold-water system
KAM	4	8	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	4	8	256	Leak in the heating system
KAM	4	8	512	Burst in the heating system
KAM	4	8	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	4	8	2048	Flow sensor V1, Wrong meter factor
KAM	4	8	4096	Flow sensor V1, Signal too low (Air)
KAM	4	8	8192	Flow sensor V2, Signal too low (Air)
KAM	4	8	16384	Flow sensor V1, Wrong flow direction
KAM	4	8	32768	Flow sensor V2, Wrong flow direction
KAM	4	11	1	Supply voltage has been cut off
KAM	4	11	2	Flow sensor error
KAM	4	11	4	Temperature sensor T2 outside measuring range
KAM	4	11	8	Temperature sensor T1 outside measuring range
KAM	4	11	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	4	11	32	Temperature sensor T3 outside measuring range
KAM	4	11	64	Leak in the cold-water system
KAM	4	11	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	4	11	256	Leak in the heating system
KAM	4	11	512	Burst in the heating system
KAM	4	11	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	4	11	2048	Flow sensor V1, Wrong meter factor
KAM	4	11	4096	Flow sensor V1, Signal too low (Air)
KAM	4	11	8192	Flow sensor V2, Signal too low (Air)
KAM	4	11	16384	Flow sensor V1, Wrong flow direction
KAM	4	11	32768	Flow sensor V2, Wrong flow direction
KAM	4	15	1	Supply voltage has been cut off
KAM	4	15	2	Flow sensor error
KAM	4	15	4	Temperature sensor T2 outside measuring range
KAM	4	15	8	Temperature sensor T1 outside measuring range
KAM	4	15	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	4	15	32	Temperature sensor T3 outside measuring range
KAM	4	15	64	Leak in the cold-water system
KAM	4	15	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	4	15	256	Leak in the heating system
KAM	4	15	512	Burst in the heating system
KAM	4	15	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	4	15	2048	Flow sensor V1, Wrong meter factor
KAM	4	15	4096	Flow sensor V1, Signal too low (Air)
KAM	4	15	8192	Flow sensor V2, Signal too low (Air)
KAM	4	15	16384	Flow sensor V1, Wrong flow direction
KAM	4	15	32768	Flow sensor V2, Wrong flow direction
KAM	4	17	1	Supply voltage has been cut off
KAM	4	17	2	Flow sensor error
KAM	4	17	4	Temperature sensor T2 outside measuring range
KAM	4	17	8	Temperature sensor T1 outside measuring range
KAM	4	17	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	4	17	32	Temperature sensor T3 outside measuring range
KAM	4	17	64	Leak in the cold-water system
KAM	4	17	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	4	17	256	Leak in the heating system
KAM	4	17	512	Burst in the heating system
KAM	4	17	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	4	17	2048	Flow sensor V1, Wrong meter factor
KAM	4	17	4096	Flow sensor V1, Signal too low (Air)
KAM	4	17	8192	Flow sensor V2, Signal too low (Air)
KAM	4	17	16384	Flow sensor V1, Wrong flow direction
KAM	4	17	32768	Flow sensor V2, Wrong flow direction
KAM	6	0	1	Supply voltage has been cut off
KAM	6	0	2	Flow sensor error
KAM	6	0	4	Temperature sensor T2 outside measuring range
KAM	6	0	8	Temperature sensor T1 outside measuring range
KAM	6	0	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	6	0	32	Temperature sensor T3 outside measuring range
KAM	6	0	64	Leak in the cold-water system
KAM	6	0	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	6	0	256	Leak in the heating system
KAM	6	0	512	Burst in the heating system
